"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type","name_winery_region"
"Capatosta 2015","Italy","Toscana","Poggio Argentiera",3.8,101,19.9,2015,"Red","Capatosta 2015 - Poggio Argentiera, Toscana"
"Constance Madiran 2015","France","Madiran","Domaine Berthoumieu",3.8,101,9.5,2015,"Red","Constance Madiran 2015 - Domaine Berthoumieu, Madiran"
"Oak Cask Malbec 2019","Argentina","Mendoza","Trapiche",3.7,1010,7.36,2019,"Red","Oak Cask Malbec 2019 - Trapiche, Mendoza"
"Amancaya Malbec - Cabernet Sauvignon 2017","Argentina","Mendoza","Caro (Catena and Rothschild)",4,1010,16.8,2017,"Red","Amancaya Malbec - Cabernet Sauvignon 2017 - Caro (Catena and Rothschild), Mendoza"
"Laccento Ruché di Castagnole Monferrato 2017","Italy","Ruchè","Montalbera",4,1012,19.9,2017,"Red","Laccento Ruché di Castagnole Monferrato 2017 - Montalbera, Ruchè"
"San Leonardo 2011","Italy","Vigneti delle Dolomiti","San Leonardo",4.3,1012,48.64,2011,"Red","San Leonardo 2011 - San Leonardo, Vigneti delle Dolomiti"
"Fausto Tannat 2015","Brazil","Serra Gaúcha","Pizzato",3.6,1012,11.35,2015,"Red","Fausto Tannat 2015 - Pizzato, Serra Gaúcha"
"Pauillac (Grand Cru Classé) 2007","France","Pauillac","Château Pichon Baron",4.4,1014,119,2007,"Red","Pauillac (Grand Cru Classé) 2007 - Château Pichon Baron, Pauillac"
"Disciples 2016","United States","Napa Valley","The Crane Assembly",4.3,1014,53.61,2016,"Red","Disciples 2016 - The Crane Assembly, Napa Valley"
"Zinfandel 2015","United States","Mendocino County","Bonterra",3.6,1015,16.75,2015,"Red","Zinfandel 2015 - Bonterra, Mendocino County"
"Margaux 2010","France","Margaux","Château Labégorce",4,1016,40.95,2010,"Red","Margaux 2010 - Château Labégorce, Margaux"
"La Luna e i Falò Barbera d'Asti Superiore 2015","Italy","Barbera d'Asti","Vite Colte",3.8,1016,11.49,2015,"Red","La Luna e i Falò Barbera d'Asti Superiore 2015 - Vite Colte, Barbera d'Asti"
"Ribera del Duero 2015","Spain","Ribera del Duero","Garmón",4.2,1017,38.8,2015,"Red","Ribera del Duero 2015 - Garmón, Ribera del Duero"
"Les Jardins Rouge 2018","France","Faugères","Saint Antonin",3.8,102,7.95,2018,"Red","Les Jardins Rouge 2018 - Saint Antonin, Faugères"
"Nero d'Avola - Syrah 2018","Italy","Terre Siciliane","Roccaperciata",3.7,102,4.75,2018,"Red","Nero d'Avola - Syrah 2018 - Roccaperciata, Terre Siciliane"
"La Bienquerida 2013","Spain","Bierzo","Losada",4.1,102,35.97,2013,"Red","La Bienquerida 2013 - Losada, Bierzo"
"Bonera 2018","Italy","Terre Siciliane","Mandrarossa",3.7,102,9.5,2018,"Red","Bonera 2018 - Mandrarossa, Terre Siciliane"
"Noi 4 Bolgheri 2016","Italy","Bolgheri","Tenuta dei Sette Cieli",4,102,23.5,2016,"Red","Noi 4 Bolgheri 2016 - Tenuta dei Sette Cieli, Bolgheri"
"Pinot Noir 2016","New Zealand","Marlborough","Clos Henri Vineyard",3.9,102,27.78,2016,"Red","Pinot Noir 2016 - Clos Henri Vineyard, Marlborough"
"Saint-Émilion Grand Cru 2005","France","Saint-Émilion Grand Cru","Château Grand Barrail Lamarzelle Figeac",3.9,102,39.95,2005,"Red","Saint-Émilion Grand Cru 2005 - Château Grand Barrail Lamarzelle Figeac, Saint-Émilion Grand Cru"
"Gran Selección Tempranillo 2017","Spain","Castilla","Viña San Juan",3.4,102,6.75,2017,"Red","Gran Selección Tempranillo 2017 - Viña San Juan, Castilla"
"Syrah 2017","South Africa","Paarl","Glen Carlou",3.9,102,18.25,2017,"Red","Syrah 2017 - Glen Carlou, Paarl"
"Zweigelt 2017","Austria","Burgenland","Judith Beck",3.9,102,10.6,2017,"Red","Zweigelt 2017 - Judith Beck, Burgenland"
"Saint-Émilion Grand Cru 2015","France","Saint-Émilion Grand Cru","Château Vieux Clos St. Emilion",4.1,102,23.09,2015,"Red","Saint-Émilion Grand Cru 2015 - Château Vieux Clos St. Emilion, Saint-Émilion Grand Cru"
"Listán Negro 2017","Spain","Lanzarote","Bermejo",3.6,102,17.95,2017,"Red","Listán Negro 2017 - Bermejo, Lanzarote"
"Viile Metamorfosis Merlot 2015","Romania","Dealu Mare","Vitis Metamorfosis",3.5,102,7.5,2015,"Red","Viile Metamorfosis Merlot 2015 - Vitis Metamorfosis, Dealu Mare"
"Merlot - Cabernet Sauvignon - Petit Verdot 2014","South Africa","Walker Bay","Creation",3.9,102,12.48,2014,"Red","Merlot - Cabernet Sauvignon - Petit Verdot 2014 - Creation, Walker Bay"
"RWT Shiraz 2017","Australia","Barossa Valley","Penfolds",4.4,102,229,2017,"Red","RWT Shiraz 2017 - Penfolds, Barossa Valley"
"Fronton 2018","France","Fronton","Château Bellevue La Forét",3.5,102,6.95,2018,"Red","Fronton 2018 - Château Bellevue La Forét, Fronton"
"Costers Del Gravet Montsant 2013","Spain","Montsant","Capçanes",3.7,102,13.95,2013,"Red","Costers Del Gravet Montsant 2013 - Capçanes, Montsant"
"Merlot 2018","Italy","Terre Siciliane","Cusumano",3.4,102,7.9,2018,"Red","Merlot 2018 - Cusumano, Terre Siciliane"
"Pinot Noir 2015","Austria","Burgenland","Paul Achs",3.7,102,33.05,2015,"Red","Pinot Noir 2015 - Paul Achs, Burgenland"
"Coume de l'Olla Rouge 2019","France","Vin de France","Matassa",4.1,102,16.96,2019,"Red","Coume de l'Olla Rouge 2019 - Matassa, Vin de France"
"Schwarzer 2017","Germany","Pfalz","Weingut Metzger",3.6,102,13.15,2017,"Red","Schwarzer 2017 - Weingut Metzger, Pfalz"
"Haut-Médoc 2015","France","Haut-Médoc","Château Beaumont",3.8,1020,17.36,2015,"Red","Haut-Médoc 2015 - Château Beaumont, Haut-Médoc"
"Bourgogne Pinot Noir (La Vignée) 2015","France","Bourgogne","Bouchard Père & Fils",3.6,1020,17.59,2015,"Red","Bourgogne Pinot Noir (La Vignée) 2015 - Bouchard Père & Fils, Bourgogne"
"Pinot Noir 2017","South Africa","Hemel-en-Aarde Valley","Hamilton Russell Vineyards",4.2,1022,49.09,2017,"Red","Pinot Noir 2017 - Hamilton Russell Vineyards, Hemel-en-Aarde Valley"
"Zinfandel 2016","United States","California","Geyser Peak",3.7,1023,10.9,2016,"Red","Zinfandel 2016 - Geyser Peak, California"
"Valpolicella Ripasso Classico Superiore 2017","Italy","Valpolicella Ripasso Classico","Bolla",3.7,1024,15.5,2017,"Red","Valpolicella Ripasso Classico Superiore 2017 - Bolla, Valpolicella Ripasso Classico"
"Rosso di Montalcino 2015","Italy","Rosso di Montalcino","Castiglion del Bosco",3.9,1025,26.5,2015,"Red","Rosso di Montalcino 2015 - Castiglion del Bosco, Rosso di Montalcino"
"Ripanço Private Selection Alentejano 2016","Portugal","Alentejano","José Maria da Fonseca",3.7,1026,8.6,2016,"Red","Ripanço Private Selection Alentejano 2016 - José Maria da Fonseca, Alentejano"
"Riserva Cannonau di Sardegna 2017","Italy","Cannonau di Sardegna","Sella & Mosca",3.8,1027,10.66,2017,"Red","Riserva Cannonau di Sardegna 2017 - Sella & Mosca, Cannonau di Sardegna"
"60 Sessantanni Old Vines Primitivo di Manduria 2016","Italy","Primitivo di Manduria","San Marzano",4.4,1028,17.24,2016,"Red","60 Sessantanni Old Vines Primitivo di Manduria 2016 - San Marzano, Primitivo di Manduria"
"Kith & Kin Cabernet Sauvignon 2017","United States","Napa Valley","Round Pond Estate",4.2,1028,38.5,2017,"Red","Kith & Kin Cabernet Sauvignon 2017 - Round Pond Estate, Napa Valley"
"Zinfandel 2017","United States","California","Rombauer Vineyards",4.3,1029,34.12,2017,"Red","Zinfandel 2017 - Rombauer Vineyards, California"
"Cerro Añon Rioja Gran Reserva 2011","Spain","Rioja","Bodegas Olarra",4.1,103,14.65,2011,"Red","Cerro Añon Rioja Gran Reserva 2011 - Bodegas Olarra, Rioja"
"Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013","Australia","McLaren Vale","Geoff Merrill",4,103,14.57,2013,"Red","Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013 - Geoff Merrill, McLaren Vale"
"Plaer Vinyes Velles 2016","Spain","Priorat","Acustic Celler",4.1,103,26.18,2016,"Red","Plaer Vinyes Velles 2016 - Acustic Celler, Priorat"
"Cabernet - Shiraz 2016","Spain","La Mancha","Añoranza",3.4,103,3.95,2016,"Red","Cabernet - Shiraz 2016 - Añoranza, La Mancha"
"Saint-Émilion Grand Cru 2014","France","Saint-Émilion Grand Cru","Château La Confession",3.9,103,26.9,2014,"Red","Saint-Émilion Grand Cru 2014 - Château La Confession, Saint-Émilion Grand Cru"
"Comte de Sénéjac Haut-Médoc 2011","France","Haut-Médoc","Château Sénéjac",3.7,103,16.83,2011,"Red","Comte de Sénéjac Haut-Médoc 2011 - Château Sénéjac, Haut-Médoc"
"Gran Masetto Teroldego 2014","Italy","Trentino","Endrizzi",4.4,103,39.9,2014,"Red","Gran Masetto Teroldego 2014 - Endrizzi, Trentino"
"Barolo Mariondino 2015","Italy","Barolo","Parusso",4.1,103,39.9,2015,"Red","Barolo Mariondino 2015 - Parusso, Barolo"
"Crianza 2016","Spain","Rioja","Berceo",3.6,103,9.9,2016,"Red","Crianza 2016 - Berceo, Rioja"
"Apogee Pepper Bridge Vineyard 2013","United States","Walla Walla Valley","L'Ecole No 41",4.1,103,46.9,2013,"Red","Apogee Pepper Bridge Vineyard 2013 - L'Ecole No 41, Walla Walla Valley"
"Gamma Red Blend 2018","Spain","Navarra","Bodegas Piedemonte",3.4,103,6.15,2018,"Red","Gamma Red Blend 2018 - Bodegas Piedemonte, Navarra"
"Peyres Nobles Rouge 2018","France","Corbières","Château Camplong",4,103,6.5,2018,"Red","Peyres Nobles Rouge 2018 - Château Camplong, Corbières"
"Lemartine Toscana 2015","Italy","Toscana","Poggio Antico",4.1,103,29.67,2015,"Red","Lemartine Toscana 2015 - Poggio Antico, Toscana"
"Organic Cabernet 2018","Australia","South Australia","Farm Hand",3.7,103,7.79,2018,"Red","Organic Cabernet 2018 - Farm Hand, South Australia"
"Pomerol 1999","France","Pomerol","Château Nénin",4.1,103,240,1999,"Red","Pomerol 1999 - Château Nénin, Pomerol"
"Malterdinger Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4.1,103,38.69,2016,"Red","Malterdinger Alte Reben Spätburgunder 2016 - Bernhard Huber, Baden"
"Cabernet Franc 2012","South Africa","Franschhoek","Anthonij Rupert",4.2,103,59.95,2012,"Red","Cabernet Franc 2012 - Anthonij Rupert, Franschhoek"
"Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002","France","Saint-Émilion Grand Cru","Château Valandraud",4.4,103,193.02,2002,"Red","Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002 - Château Valandraud, Saint-Émilion Grand Cru"
"Bramare Rebon Vineyard Malbec 2017","Argentina","Mendoza","Viña Cobos",4.6,103,75.07,2017,"Red","Bramare Rebon Vineyard Malbec 2017 - Viña Cobos, Mendoza"
"Merlot Reserva 2008","Brazil","Vale dos Vinhedos","Pizzato",3.2,103,15.9,2008,"Red","Merlot Reserva 2008 - Pizzato, Vale dos Vinhedos"
"Brunello di Montalcino Pianrosso 2015","Italy","Brunello di Montalcino","Ciacci Piccolomini d'Aragona",4.4,103,66.29,2015,"Red","Brunello di Montalcino Pianrosso 2015 - Ciacci Piccolomini d'Aragona, Brunello di Montalcino"
"François de Tournon Saint-Joseph 2016","France","Saint-Joseph","Delas",3.9,103,29.15,2016,"Red","François de Tournon Saint-Joseph 2016 - Delas, Saint-Joseph"
"Estibals Minervois 2018","France","Minervois","L'Ostal Cazes",3.6,103,10.99,2018,"Red","Estibals Minervois 2018 - L'Ostal Cazes, Minervois"
"Barbera - Garnacha 2017","Chile","Maule Valley","Erasmo",3.5,103,12.62,2017,"Red","Barbera - Garnacha 2017 - Erasmo, Maule Valley"
"Roi des Lézards 2014","France","Côtes Catalanes","Domaine Les Enfants Sauvages",3.9,103,19.4,2014,"Red","Roi des Lézards 2014 - Domaine Les Enfants Sauvages, Côtes Catalanes"
"One Point Five Cabernet Sauvignon 2016","United States","Stags Leap District","Shafer",4.5,1030,120.01,2016,"Red","One Point Five Cabernet Sauvignon 2016 - Shafer, Stags Leap District"
"Barbaresco 2013","Italy","Barbaresco","Gaja",4.4,1030,199.9,2013,"Red","Barbaresco 2013 - Gaja, Barbaresco"
"Saint-Julien (Grand Cru Classé) 2006","France","Saint-Julien","Château Branaire-Ducru",3.9,1030,59.54,2006,"Red","Saint-Julien (Grand Cru Classé) 2006 - Château Branaire-Ducru, Saint-Julien"
"Médoc 2012","France","Médoc","Château Potensac",3.8,1033,39.69,2012,"Red","Médoc 2012 - Château Potensac, Médoc"
"Pieve Santa Restituta Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Gaja",4.3,1035,59.9,2014,"Red","Pieve Santa Restituta Brunello di Montalcino 2014 - Gaja, Brunello di Montalcino"
"Gran Maestro Primitivo di Manduria 2017","Italy","Primitivo di Manduria","Maestro Italiano",4.1,1036,9.75,2017,"Red","Gran Maestro Primitivo di Manduria 2017 - Maestro Italiano, Primitivo di Manduria"
"Saint-Julien (Grand Cru Classé) 2011","France","Saint-Julien","Château Léoville Barton",4.2,1037,87.24,2011,"Red","Saint-Julien (Grand Cru Classé) 2011 - Château Léoville Barton, Saint-Julien"
"Inferno (Aged in Whiskey Barrels - Limited Release) 2017","United States","California","Apothic",3.8,1037,14.56,2017,"Red","Inferno (Aged in Whiskey Barrels - Limited Release) 2017 - Apothic, California"
"Pessac-Léognan (Grand Cru Classé de Graves) 2007","France","Pessac-Léognan","Château Pape Clément",4.3,1037,161.1,2007,"Red","Pessac-Léognan (Grand Cru Classé de Graves) 2007 - Château Pape Clément, Pessac-Léognan"
"Faithful Hound Red 2015","South Africa","Stellenbosch","Mulderbosch",4,1038,14.9,2015,"Red","Faithful Hound Red 2015 - Mulderbosch, Stellenbosch"
"Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012","Italy","Amarone della Valpolicella","Masi",4.3,1039,69,2012,"Red","Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012 - Masi, Amarone della Valpolicella"
"Rosso di Montalcino 2018","Italy","Rosso di Montalcino","Talenti",3.7,104,14.43,2018,"Red","Rosso di Montalcino 2018 - Talenti, Rosso di Montalcino"
"Chianti 2017","Italy","Chianti","Sammontana",3.7,104,8.9,2017,"Red","Chianti 2017 - Sammontana, Chianti"
"Azul 2015","Spain","Ribera del Queiles","Guelbenzu",3.8,104,6.99,2015,"Red","Azul 2015 - Guelbenzu, Ribera del Queiles"
"Sanct Valentin Riserva Pinot Noir 2017","Italy","Südtirol - Alto Adige","St. Michael-Eppan",4.1,104,33.2,2017,"Red","Sanct Valentin Riserva Pinot Noir 2017 - St. Michael-Eppan, Südtirol - Alto Adige"
"Mas Collet Barrica 2009","Spain","Montsant","Capçanes",3.5,104,21.91,2009,"Red","Mas Collet Barrica 2009 - Capçanes, Montsant"
"Valpolicella Ripasso Classico Superiore 2016","Italy","Valpolicella Ripasso Classico","Paolo Cottini",4,104,16.9,2016,"Red","Valpolicella Ripasso Classico Superiore 2016 - Paolo Cottini, Valpolicella Ripasso Classico"
"Toscana Poggio Ai Merli 2016","Italy","Toscana","Castellare",4.3,104,69,2016,"Red","Toscana Poggio Ai Merli 2016 - Castellare, Toscana"
"Viña Aljibes Red Blend 2016","Spain","Castilla","Finca Los Aljibes",3.4,104,8.2,2016,"Red","Viña Aljibes Red Blend 2016 - Finca Los Aljibes, Castilla"
"Châteauneuf-du-Pape (La Crau) 2017","France","Châteauneuf-du-Pape","Domaine du Vieux Télégraphe",4.4,104,79.95,2017,"Red","Châteauneuf-du-Pape (La Crau) 2017 - Domaine du Vieux Télégraphe, Châteauneuf-du-Pape"
"Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015","France","Châteauneuf-du-Pape","Pierre Amadieu",4,104,26.23,2015,"Red","Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015 - Pierre Amadieu, Châteauneuf-du-Pape"
"Mencia 2015","Spain","Valdeorras","Viña Costeira",3.2,104,8.28,2015,"Red","Mencia 2015 - Viña Costeira, Valdeorras"
"Santenay Clos de Malte 2016","France","Santenay","Louis Jadot",4.1,104,32,2016,"Red","Santenay Clos de Malte 2016 - Louis Jadot, Santenay"
"Sudisfà Roero Riserva 2015","Italy","Roero","Negro Angelo",4.1,104,29.9,2015,"Red","Sudisfà Roero Riserva 2015 - Negro Angelo, Roero"
"Léa Les Aspres Côtes du Roussillon Rouge 2012","France","Côtes du Roussillon","Domaine Lafage",4,104,19.95,2012,"Red","Léa Les Aspres Côtes du Roussillon Rouge 2012 - Domaine Lafage, Côtes du Roussillon"
"Alleanza 2012","Italy","Toscana","Castello di Gabbiano",4.1,104,26.95,2012,"Red","Alleanza 2012 - Castello di Gabbiano, Toscana"
"Valpolicella Ripasso Classico Superiore Solane 2015","Italy","Valpolicella Ripasso","Santi",3.7,1040,14.75,2015,"Red","Valpolicella Ripasso Classico Superiore Solane 2015 - Santi, Valpolicella Ripasso"
"Crianza 2015","Spain","Binissalem-Mallorca","Bodegas José L. Ferrer",3.8,1040,11.95,2015,"Red","Crianza 2015 - Bodegas José L. Ferrer, Binissalem-Mallorca"
