"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type","name_winery_region"
"Sangre de Toro 2017","Spain","Catalunya","Torres",3.5,3792,6.75,2017,"Red","Sangre de Toro 2017 - Torres, Catalunya"
"Echevin Guillaume de Rouville Rouge 2017","France","Côtes-du-Rhône-Villages 'Saint-Maurice'","Domaine La Florane",3.9,38,15.5,2017,"Red","Echevin Guillaume de Rouville Rouge 2017 - Domaine La Florane, Côtes-du-Rhône-Villages 'Saint-Maurice'"
"Barolo Prapò 2013","Italy","Barolo","Ceretto",4.2,38,96.03,2013,"Red","Barolo Prapò 2013 - Ceretto, Barolo"
"Zweigelt 2017","Austria","Wagram","Anton Bauer",3.8,38,9.51,2017,"Red","Zweigelt 2017 - Anton Bauer, Wagram"
"Killerman's Run Shiraz - Grenache 2014","Australia","Clare Valley","Kilikanoon",3.8,38,20.75,2014,"Red","Killerman's Run Shiraz - Grenache 2014 - Kilikanoon, Clare Valley"
"Syrah 2017","Italy","Terre Siciliane","Fatascia",3.5,38,7.55,2017,"Red","Syrah 2017 - Fatascia, Terre Siciliane"
"Chianti Rufina Riserva 2012","Italy","Chianti Rùfina","Villa di Vetrice",3.7,38,13.9,2012,"Red","Chianti Rufina Riserva 2012 - Villa di Vetrice, Chianti Rùfina"
"Caspar C. Spätburgunder 2016","Germany","Ahr","Deutzerhof",3.9,38,24.28,2016,"Red","Caspar C. Spätburgunder 2016 - Deutzerhof, Ahr"
"Cosimo Varvaglione Collezione Privata Negroamaro del Salento 2014","Italy","Salento","Varvaglione",4.2,38,20.9,2014,"Red","Cosimo Varvaglione Collezione Privata Negroamaro del Salento 2014 - Varvaglione, Salento"
"Tour des Trois Lunes Rouge 2016","France","Bordeaux","Sichel",3.7,38,15.4,2016,"Red","Tour des Trois Lunes Rouge 2016 - Sichel, Bordeaux"
"Clos de Vougeot Grand Cru 2011","France","Clos Vougeot Grand Cru","Joseph Drouhin",4.4,38,174.49,2011,"Red","Clos de Vougeot Grand Cru 2011 - Joseph Drouhin, Clos Vougeot Grand Cru"
"Côtes de Castillon 2010","France","Castillon - Côtes de Bordeaux","Clos Les Lunelles",3.7,38,34.95,2010,"Red","Côtes de Castillon 2010 - Clos Les Lunelles, Castillon - Côtes de Bordeaux"
"Les Remparts de Ferrière Margaux 2011","France","Médoc","Château Ferrière",3.6,38,29.95,2011,"Red","Les Remparts de Ferrière Margaux 2011 - Château Ferrière, Médoc"
"Palmenti Primitivo di Manduria Vigne Vecchie 2016","Italy","Primitivo di Manduria","Masseria Pietrosa",4.3,38,24.37,2016,"Red","Palmenti Primitivo di Manduria Vigne Vecchie 2016 - Masseria Pietrosa, Primitivo di Manduria"
"Vinyarets 2018","Spain","Penedès","Torres",3.6,38,15.95,2018,"Red","Vinyarets 2018 - Torres, Penedès"
"d'Alceo 2014","Italy","Toscana","Castello dei Rampolla",4.3,38,172,2014,"Red","d'Alceo 2014 - Castello dei Rampolla, Toscana"
"Giramonte Toscana 2014","Italy","Toscana","Tenuta Castiglioni",4.3,38,126.38,2014,"Red","Giramonte Toscana 2014 - Tenuta Castiglioni, Toscana"
"Rosso Piceno Superiore Campo Delle Mura 2006","Italy","Rosso Piceno","Moncaro",4,38,17.45,2006,"Red","Rosso Piceno Superiore Campo Delle Mura 2006 - Moncaro, Rosso Piceno"
"Sud Tarantino Primitivo - Merlot 2018","Italy","Tarantino","San Marzano",3.7,38,6.73,2018,"Red","Sud Tarantino Primitivo - Merlot 2018 - San Marzano, Tarantino"
"Amarone della Valpolicella Classico 2015","Italy","Amarone della Valpolicella Classico","Lenotti",4.2,38,23.9,2015,"Red","Amarone della Valpolicella Classico 2015 - Lenotti, Amarone della Valpolicella Classico"
"Dròmos 2011","Italy","Maremma Toscana","Poggio Verrano",4,38,37.97,2011,"Red","Dròmos 2011 - Poggio Verrano, Maremma Toscana"
"Rioja Reserva 2013","Spain","Rioja","Remelluri",4.1,38,24.95,2013,"Red","Rioja Reserva 2013 - Remelluri, Rioja"
"Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2013","France","Saint-Émilion Grand Cru","Château Ausone",4.7,38,575.13,2013,"Red","Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2013 - Château Ausone, Saint-Émilion Grand Cru"
"Rasteau 2016","France","Rasteau","Domaine Fond Croze",3.7,38,12.18,2016,"Red","Rasteau 2016 - Domaine Fond Croze, Rasteau"
"Châteauneuf-du-Pape 2004","France","Châteauneuf-du-Pape","Tardieu-Laurent",4.2,38,49.95,2004,"Red","Châteauneuf-du-Pape 2004 - Tardieu-Laurent, Châteauneuf-du-Pape"
"Spätburgunder 2012","Germany","Pfalz","Oliver Zeter",3.7,38,9.7,2012,"Red","Spätburgunder 2012 - Oliver Zeter, Pfalz"
"Rioja Viñas Viejas 2016","Spain","Rioja","Beronia",3.6,38,13.99,2016,"Red","Rioja Viñas Viejas 2016 - Beronia, Rioja"
"Rioja Cisma 2014","Spain","Rioja","Pujanza",4.4,38,112,2014,"Red","Rioja Cisma 2014 - Pujanza, Rioja"
"Saint-Émilion Grand Cru (Grand Cru Classé) 2015","France","Saint-Émilion Grand Cru","Château Destieux",4.2,38,69.82,2015,"Red","Saint-Émilion Grand Cru (Grand Cru Classé) 2015 - Château Destieux, Saint-Émilion Grand Cru"
"Bourgogne Pinot Noir 2017","France","Bourgogne","Régnard",3.6,38,19.64,2017,"Red","Bourgogne Pinot Noir 2017 - Régnard, Bourgogne"
"Bricco dell'Uccellone Barbera d'Asti 2017","Italy","Barbera d'Asti","Braida",4.4,38,49.9,2017,"Red","Bricco dell'Uccellone Barbera d'Asti 2017 - Braida, Barbera d'Asti"
"Gold 2017","South Africa","Stellenbosch","Rustenberg",3.6,38,25.34,2017,"Red","Gold 2017 - Rustenberg, Stellenbosch"
"Rosenthal Spätburgunder GG 2012","Germany","Ahr","J.J. Adeneuer",4.1,38,38.94,2012,"Red","Rosenthal Spätburgunder GG 2012 - J.J. Adeneuer, Ahr"
"Clos de Citeaux Pommard Grands Épenots Premier Cru 2015","France","Pommard 1er Cru 'Les Grands Epenots'","Domaine Jean Monnier & Fils",4.1,38,83.15,2015,"Red","Clos de Citeaux Pommard Grands Épenots Premier Cru 2015 - Domaine Jean Monnier & Fils, Pommard 1er Cru 'Les Grands Epenots'"
"Passion 2015","Austria","Burgenland","Reunion",3.7,38,18.49,2015,"Red","Passion 2015 - Reunion, Burgenland"
"Cà Bussin Valpolicella Classico 2017","Italy","Valpolicella","Boscaini Carlo",3.2,38,10.5,2017,"Red","Cà Bussin Valpolicella Classico 2017 - Boscaini Carlo, Valpolicella"
"Eichberg Spätburgunder GG 2016","Germany","Baden","Franz Keller",4.2,38,49,2016,"Red","Eichberg Spätburgunder GG 2016 - Franz Keller, Baden"
"Amarone della Valpolicella Classico 2013","Italy","Amarone della Valpolicella Classico","Nicolis",3.9,38,39.9,2013,"Red","Amarone della Valpolicella Classico 2013 - Nicolis, Amarone della Valpolicella Classico"
"Médoc 2016","France","Médoc","Château Castera",3.9,38,15.69,2016,"Red","Médoc 2016 - Château Castera, Médoc"
"Schioppettino 2012","Italy","Colli Orientali del Friuli","Conte d'Attimis Maniago",3.5,38,13.9,2012,"Red","Schioppettino 2012 - Conte d'Attimis Maniago, Colli Orientali del Friuli"
"Classic Zweigelt 2017","Austria","Burgenland","Esterházy",3.7,38,9.4,2017,"Red","Classic Zweigelt 2017 - Esterházy, Burgenland"
"Messorio 2016","Italy","Toscana","Le Macchiole",4.4,38,193.03,2016,"Red","Messorio 2016 - Le Macchiole, Toscana"
"Centenario 2011","Italy","Monferrato","Azienda Agricola Accornero",4.1,38,24.9,2011,"Red","Centenario 2011 - Azienda Agricola Accornero, Monferrato"
"Saint-Estèphe 2016","France","Saint-Estèphe","Château Beau-Site",4,38,25.15,2016,"Red","Saint-Estèphe 2016 - Château Beau-Site, Saint-Estèphe"
"Predappio Sangiovese 2015","Italy","Emilia-Romagna","Conde",4.2,38,15.1,2015,"Red","Predappio Sangiovese 2015 - Conde, Emilia-Romagna"
"El Carretil Rioja 2016","Spain","Rioja","Artadi",4.3,38,160.84,2016,"Red","El Carretil Rioja 2016 - Artadi, Rioja"
"Siebeneich Merlot Riserva 2010","Italy","Südtirol - Alto Adige","Colterenzio (Schreckbichl)",3.6,38,15.55,2010,"Red","Siebeneich Merlot Riserva 2010 - Colterenzio (Schreckbichl), Südtirol - Alto Adige"
"Caselle Chianti Superiore 2015","Italy","Chianti","Montellori",3.4,38,10.99,2015,"Red","Caselle Chianti Superiore 2015 - Montellori, Chianti"
"Valpolicella 2019","Italy","Valpolicella","Allegrini",3.6,38,10.49,2019,"Red","Valpolicella 2019 - Allegrini, Valpolicella"
"Amarone della Valpolicella Classico 2015","Italy","Amarone della Valpolicella Classico","Paolo Cottini",4,38,43.9,2015,"Red","Amarone della Valpolicella Classico 2015 - Paolo Cottini, Amarone della Valpolicella Classico"
"Camalaione 2013","Italy","Chianti","Cinciole",4.2,38,38.94,2013,"Red","Camalaione 2013 - Cinciole, Chianti"
"Bell'Aja 2017","Italy","Bolgheri","San Felice",3.7,38,15.5,2017,"Red","Bell'Aja 2017 - San Felice, Bolgheri"
"Rosso di Montalcino 2016","Italy","Rosso di Montalcino","Tenute Silvio Nardi",3.7,380,14.52,2016,"Red","Rosso di Montalcino 2016 - Tenute Silvio Nardi, Rosso di Montalcino"
"Pessac-Léognan (Grand Cru Classé de Graves) 2008","France","Pessac-Léognan","Château La Mission Haut-Brion",4.4,380,209.9,2008,"Red","Pessac-Léognan (Grand Cru Classé de Graves) 2008 - Château La Mission Haut-Brion, Pessac-Léognan"
"María 2016","Spain","Valencia","De Moya",4,380,10.9,2016,"Red","María 2016 - De Moya, Valencia"
"Haut-Médoc 2016","France","Haut-Médoc","Château Citran",3.8,380,19.95,2016,"Red","Haut-Médoc 2016 - Château Citran, Haut-Médoc"
"Gran Reserva 2018","Chile","Maipo Valley","Escudo Rojo",3.7,380,11.83,2018,"Red","Gran Reserva 2018 - Escudo Rojo, Maipo Valley"
"Pessac-Léognan (Grand Cru Classé de Graves) 2016","France","Pessac-Léognan","Château Malartic-Lagravière",4,381,72,2016,"Red","Pessac-Léognan (Grand Cru Classé de Graves) 2016 - Château Malartic-Lagravière, Pessac-Léognan"
"Old Vines Garnacha 2013","Spain","Empordà","Espelt",3.5,381,8.72,2013,"Red","Old Vines Garnacha 2013 - Espelt, Empordà"
"Château du Calvaire Saint-Émilion Grand Cru 2016","France","Saint-Émilion Grand Cru","Domaines Roland Dumas",3.8,381,19.99,2016,"Red","Château du Calvaire Saint-Émilion Grand Cru 2016 - Domaines Roland Dumas, Saint-Émilion Grand Cru"
"Syrah 2016","Spain","La Mancha","Terra Linda",3.8,381,9.95,2016,"Red","Syrah 2016 - Terra Linda, La Mancha"
"23 Barricas Touriga Nacional - Syrah Alentejano 2012","Portugal","Alentejano","Herdade dos Grous",4.2,381,27.68,2012,"Red","23 Barricas Touriga Nacional - Syrah Alentejano 2012 - Herdade dos Grous, Alentejano"
"27 Ribera del Duero 2017","Spain","Ribera del Duero","Protos",4,381,22.8,2017,"Red","27 Ribera del Duero 2017 - Protos, Ribera del Duero"
"Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Banfi",4.2,3814,25.71,2014,"Red","Brunello di Montalcino 2014 - Banfi, Brunello di Montalcino"
"Bandol 2016","France","Bandol","Château de Pibarnon",4.1,382,42.5,2016,"Red","Bandol 2016 - Château de Pibarnon, Bandol"
"Gevrey-Chambertin 2015","France","Gevrey-Chambertin","Bouchard Père & Fils",4,382,43.67,2015,"Red","Gevrey-Chambertin 2015 - Bouchard Père & Fils, Gevrey-Chambertin"
"Cabernet Sauvignon - Merlot 2018","South Africa","Western Cape","Two Oceans",3.2,382,4.9,2018,"Red","Cabernet Sauvignon - Merlot 2018 - Two Oceans, Western Cape"
"Svmma Varietalis Red Blend (Summa) 2014","Spain","Dominio de Valdepusa","Marqués de Griñon",4.1,382,21.1,2014,"Red","Svmma Varietalis Red Blend (Summa) 2014 - Marqués de Griñon, Dominio de Valdepusa"
"Alentejano Tinto 2018","Portugal","Alentejano","Herdade dos Grous",4.1,382,11.89,2018,"Red","Alentejano Tinto 2018 - Herdade dos Grous, Alentejano"
"Gran Malbec 2017","Argentina","Tupungato","Domaine Bousquet",4.1,382,13.43,2017,"Red","Gran Malbec 2017 - Domaine Bousquet, Tupungato"
"Le Corti Chianti Classico 2015","Italy","Chianti Classico","Principe Corsini",3.7,382,7.5,2015,"Red","Le Corti Chianti Classico 2015 - Principe Corsini, Chianti Classico"
"Cabernet Sauvignon 2015","Argentina","Mendoza","Catena",4,3821,13.55,2015,"Red","Cabernet Sauvignon 2015 - Catena, Mendoza"
"Burlesque Old Vine Zinfandel 2017","United States","California","Burlesque",3.9,383,9.99,2017,"Red","Burlesque Old Vine Zinfandel 2017 - Burlesque, California"
"Cabernet Sauvignon 2016","Italy","Toscana","Brancaia",3.8,383,20.9,2016,"Red","Cabernet Sauvignon 2016 - Brancaia, Toscana"
"Melodias Malbec 2019","Argentina","Mendoza","Trapiche",3.6,383,5.95,2019,"Red","Melodias Malbec 2019 - Trapiche, Mendoza"
"Baronne Red 2014","South Africa","Coastal Region","Nederburg",3.3,383,35.46,2014,"Red","Baronne Red 2014 - Nederburg, Coastal Region"
"Saint-Julien (Grand Cru Classé) 2015","France","Saint-Julien","Château Branaire-Ducru",4.1,383,63.22,2015,"Red","Saint-Julien (Grand Cru Classé) 2015 - Château Branaire-Ducru, Saint-Julien"
"Ghi kai Uranos Xinomavro 2017","Greece","Naoussa","Thymiopoulos",4.2,383,25.5,2017,"Red","Ghi kai Uranos Xinomavro 2017 - Thymiopoulos, Naoussa"
"Suculé Barbera d'Alba 2013","Italy","Barbera d'Alba","Lo Zoccolaio",3.7,384,15.5,2013,"Red","Suculé Barbera d'Alba 2013 - Lo Zoccolaio, Barbera d'Alba"
"Il Borgo Toscana 2016","Italy","Toscana","Cabreo",4.1,384,31.19,2016,"Red","Il Borgo Toscana 2016 - Cabreo, Toscana"
"Cabernet Sauvignon - Merlot 2016","Slovenia","Podravje","Puklavec Family Wines",3.4,385,7.66,2016,"Red","Cabernet Sauvignon - Merlot 2016 - Puklavec Family Wines, Podravje"
"Venezia Giulia Cabernet Sauvignon 2016","Italy","Venezia Giulia","Lis Neris",4,385,22.78,2016,"Red","Venezia Giulia Cabernet Sauvignon 2016 - Lis Neris, Venezia Giulia"
"Primitivo Puglia Infinitum 2018","Italy","Puglia","Torrevento",3.7,385,5.95,2018,"Red","Primitivo Puglia Infinitum 2018 - Torrevento, Puglia"
"Indian Wells Cabernet Sauvignon 2016","United States","Columbia Valley","Chateau Ste. Michelle",4,3859,20.47,2016,"Red","Indian Wells Cabernet Sauvignon 2016 - Chateau Ste. Michelle, Columbia Valley"
"Cabernet Sauvignon 2016","South Africa","Stellenbosch","Stark-Condé",3.8,386,17.44,2016,"Red","Cabernet Sauvignon 2016 - Stark-Condé, Stellenbosch"
"Amplus One Carmenère 2017","Chile","Peumo","Santa Ema",4,386,15.39,2017,"Red","Amplus One Carmenère 2017 - Santa Ema, Peumo"
"Pinot Noir Carneros 2013","United States","Los Carneros","Schug",4,386,29.95,2013,"Red","Pinot Noir Carneros 2013 - Schug, Los Carneros"
"Gran Reserva 2012","Spain","Rioja","Campo Viejo",3.8,3863,15.8,2012,"Red","Gran Reserva 2012 - Campo Viejo, Rioja"
"Reserva 2015","Spain","Rioja","Muga",4.1,3868,16.99,2015,"Red","Reserva 2015 - Muga, Rioja"
"Crianza 2014","Spain","Utiel-Requena","Torre Oria",3.2,387,4.86,2014,"Red","Crianza 2014 - Torre Oria, Utiel-Requena"
"Barolo 2014","Italy","Barolo","Cascina Adelaide",3.9,387,16.47,2014,"Red","Barolo 2014 - Cascina Adelaide, Barolo"
"Diamond Collection Zinfandel (Red Label) 2017","United States","Napa Valley","Francis Ford Coppola",3.7,387,18.5,2017,"Red","Diamond Collection Zinfandel (Red Label) 2017 - Francis Ford Coppola, Napa Valley"
"Max Reserva Merlot 2015","Chile","Aconcagua Valley","Errazuriz",3.7,387,13.55,2015,"Red","Max Reserva Merlot 2015 - Errazuriz, Aconcagua Valley"
"Querciantica Lacrima di Morro Superiore 2018","Italy","Lacrima di Morro d'Alba","Velenosi",3.9,387,13.49,2018,"Red","Querciantica Lacrima di Morro Superiore 2018 - Velenosi, Lacrima di Morro d'Alba"
"Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2015","Italy","Amarone della Valpolicella Classico","Speri",4.2,387,39.87,2015,"Red","Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2015 - Speri, Amarone della Valpolicella Classico"
"Adobe Carmenère (Reserva) 2018","Chile","Colchagua Valley","Emiliana",3.7,3878,8.45,2018,"Red","Adobe Carmenère (Reserva) 2018 - Emiliana, Colchagua Valley"
"Haut-Médoc 2008","France","Haut-Médoc","Château Fontesteau",3.7,388,15.95,2008,"Red","Haut-Médoc 2008 - Château Fontesteau, Haut-Médoc"
"Bishop Shiraz 2017","Australia","Barossa Valley","Glaetzer",4,388,27.99,2017,"Red","Bishop Shiraz 2017 - Glaetzer, Barossa Valley"
"Douro Tinto 2017","Portugal","Douro","Lavradores de Feitoria",3.4,388,6.77,2017,"Red","Douro Tinto 2017 - Lavradores de Feitoria, Douro"
"Cabernet Sauvignon 2017","United States","Napa County","Avalon",3.7,388,22.32,2017,"Red","Cabernet Sauvignon 2017 - Avalon, Napa County"
"Longitude Shiraz - Cabernet Sauvignon - Malbec 2015","South Africa","Western Cape","Flagstone",3.6,388,8.29,2015,"Red","Longitude Shiraz - Cabernet Sauvignon - Malbec 2015 - Flagstone, Western Cape"
"Barolo Gallinotto 2014","Italy","Barolo","Mauro Molino",4.1,388,33.05,2014,"Red","Barolo Gallinotto 2014 - Mauro Molino, Barolo"
"Ripassa Valpolicella Ripasso Superiore 2016","Italy","Valpolicella Ripasso","Zenato",4.1,3880,13.48,2016,"Red","Ripassa Valpolicella Ripasso Superiore 2016 - Zenato, Valpolicella Ripasso"
"Oak Cask Malbec 2018","Argentina","Mendoza","Trapiche",3.6,3885,7.96,2018,"Red","Oak Cask Malbec 2018 - Trapiche, Mendoza"
"Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014","France","Saint-Émilion Grand Cru","Château Beau-Sejour Becot",4.1,389,63.36,2014,"Red","Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014 - Château Beau-Sejour Becot, Saint-Émilion Grand Cru"
"Résonance Pinot Noir 2016","United States","Willamette Valley","Résonance",4,389,44.62,2016,"Red","Résonance Pinot Noir 2016 - Résonance, Willamette Valley"
"Luberon La Ciboise 2017","France","Luberon","M. Chapoutier",3.5,389,7.66,2017,"Red","Luberon La Ciboise 2017 - M. Chapoutier, Luberon"
"Clancy's Red Blend 2014","Australia","Barossa","Peter Lehmann",3.6,389,15.19,2014,"Red","Clancy's Red Blend 2014 - Peter Lehmann, Barossa"
"Praittenbrunn 2013","Austria","Neusiedlersee-Hügelland","Scheiblhofer",4.3,389,42.89,2013,"Red","Praittenbrunn 2013 - Scheiblhofer, Neusiedlersee-Hügelland"
"Merlot 2017","Chile","Colchagua Valley","Montes Alpha",3.9,389,13.5,2017,"Red","Merlot 2017 - Montes Alpha, Colchagua Valley"
"Banda Azul Crianza 2017","Spain","Rioja","Federico Paternina",3.5,389,5.75,2017,"Red","Banda Azul Crianza 2017 - Federico Paternina, Rioja"
"Crianza 2015","Spain","Ribera del Duero","Protos",4,3893,17.45,2015,"Red","Crianza 2015 - Protos, Ribera del Duero"
"Saint-Émilion Grand Cru 2010","France","Saint-Émilion Grand Cru","Château Pontet Clauzure",3.7,39,16.25,2010,"Red","Saint-Émilion Grand Cru 2010 - Château Pontet Clauzure, Saint-Émilion Grand Cru"
"Merlot 2016","Chile","Central Valley","CyT",3.5,39,16.32,2016,"Red","Merlot 2016 - CyT, Central Valley"
"The Ironstone Pressings 2016","Australia","McLaren Vale","d'Arenberg",3.7,39,35.5,2016,"Red","The Ironstone Pressings 2016 - d'Arenberg, McLaren Vale"
"Le Clos Rouge Crozes-Hermitage 2012","France","Crozes-Hermitage","Delas",4,39,38.89,2012,"Red","Le Clos Rouge Crozes-Hermitage 2012 - Delas, Crozes-Hermitage"
"À Coural 2018","France","Languedoc","Amiel",3.8,39,10.6,2018,"Red","À Coural 2018 - Amiel, Languedoc"
"Blason d'Aussières Corbières 2018","France","Corbières","Château d’Aussières",4.1,39,12.9,2018,"Red","Blason d'Aussières Corbières 2018 - Château d’Aussières, Corbières"
"Cabernet Sauvignon Réserve 2015","Germany","Pfalz","Philipp Kuhn",4.1,39,29.29,2015,"Red","Cabernet Sauvignon Réserve 2015 - Philipp Kuhn, Pfalz"
"Barolo Rocche di Castiglione 2013","Italy","Barolo","Vietti",4.4,39,163.93,2013,"Red","Barolo Rocche di Castiglione 2013 - Vietti, Barolo"
"Coup de Foudre Fleurie 2017","France","Fleurie","Les Bertrand",4,39,45.95,2017,"Red","Coup de Foudre Fleurie 2017 - Les Bertrand, Fleurie"
"Tiglineri Dolcetto d'Alba 2016","Italy","Dolcetto d'Alba","Enzo Boglietti",3.8,39,18.97,2016,"Red","Tiglineri Dolcetto d'Alba 2016 - Enzo Boglietti, Dolcetto d'Alba"
"Spätburgunder Halbtrocken 2016","Germany","Mayschoss","Winzergenossenschaft Mayschoss-Altenahr",3.6,39,9.5,2016,"Red","Spätburgunder Halbtrocken 2016 - Winzergenossenschaft Mayschoss-Altenahr, Mayschoss"
"Chianti Classico Clemente VII Riserva 2015","Italy","Chianti Classico","Castelli del Grevepesa",3.8,39,21.39,2015,"Red","Chianti Classico Clemente VII Riserva 2015 - Castelli del Grevepesa, Chianti Classico"
"Liaison Pinot Noir 2018","Germany","Baden","Enderle & Moll",4.1,39,20.1,2018,"Red","Liaison Pinot Noir 2018 - Enderle & Moll, Baden"
"VVV Valleys Douro 2016","Portugal","Douro","Vale D. Maria",4.3,39,21.39,2016,"Red","VVV Valleys Douro 2016 - Vale D. Maria, Douro"
"Zweigelt 2017","Austria","Niederösterreich","Laessiger",3.6,39,5.65,2017,"Red","Zweigelt 2017 - Laessiger, Niederösterreich"
"Barbera d'Alba 2019","Italy","Barbera d'Alba","Prunotto",3.8,39,14.99,2019,"Red","Barbera d'Alba 2019 - Prunotto, Barbera d'Alba"
"Pietra (Primitivo - Susumaniello) 2015","Italy","Salento","Menhir",4,39,27.06,2015,"Red","Pietra (Primitivo - Susumaniello) 2015 - Menhir, Salento"
"Toscana Rosso 2015","Italy","Toscana","Tiberio",3.8,39,7.21,2015,"Red","Toscana Rosso 2015 - Tiberio, Toscana"
"Vigna Flaminio Brindisi Riserva 2013","Italy","Brindisi","Vallone",3.4,39,10.9,2013,"Red","Vigna Flaminio Brindisi Riserva 2013 - Vallone, Brindisi"
"Pinot Nero 2010","Italy","Südtirol - Alto Adige","Ferruccio Carlotto",3.6,39,19.45,2010,"Red","Pinot Nero 2010 - Ferruccio Carlotto, Südtirol - Alto Adige"
"Pinot Noir 2017","New Zealand","Marlborough","Hunky Dory",3.4,39,14.99,2017,"Red","Pinot Noir 2017 - Hunky Dory, Marlborough"
"Canta Perdices 2016","Spain","Ribera del Duero","San Pedro Regalado",3.6,39,11.51,2016,"Red","Canta Perdices 2016 - San Pedro Regalado, Ribera del Duero"
"Brunello di Montalcino Riserva 2013","Italy","Brunello di Montalcino","Gianni Brunelli",4.6,39,126.74,2013,"Red","Brunello di Montalcino Riserva 2013 - Gianni Brunelli, Brunello di Montalcino"
"Le Chemin 2017","France","Côtes de Provence","Clos de l'Ours",3.9,39,24.9,2017,"Red","Le Chemin 2017 - Clos de l'Ours, Côtes de Provence"
"Spätburgunder Devonschiefer 2015","Germany","Ahr","H. J. Kreuzberg",3.7,39,27,2015,"Red","Spätburgunder Devonschiefer 2015 - H. J. Kreuzberg, Ahr"
"Sperss Barolo 2015","Italy","Barolo","Gaja",4.6,39,252.1,2015,"Red","Sperss Barolo 2015 - Gaja, Barolo"
"Bardolino Classico 2018","Italy","Bardolino Classico","Le Morette",3.7,39,7,2018,"Red","Bardolino Classico 2018 - Le Morette, Bardolino Classico"
"Spätburgunder G 2015","Germany","Ahr","Meyer - Näkel",3.8,39,17.5,2015,"Red","Spätburgunder G 2015 - Meyer - Näkel, Ahr"
"Les Cailles Nuits-Saint-Georges 1er Cru 2013","France","Nuits-Saint-Georges Premier Cru","Domaine Robert Chevillon",4,39,117.87,2013,"Red","Les Cailles Nuits-Saint-Georges 1er Cru 2013 - Domaine Robert Chevillon, Nuits-Saint-Georges Premier Cru"
"Barolo Arione 2015","Italy","Barolo","Giacomo Conterno",4.6,39,241.53,2015,"Red","Barolo Arione 2015 - Giacomo Conterno, Barolo"
"Classique La Clape Rouge 2018","France","La Clape","Château d'Anglès",3.6,39,9.5,2018,"Red","Classique La Clape Rouge 2018 - Château d'Anglès, La Clape"
"Pomerol 2005","France","Pomerol","Château Beau Soleil",4.2,39,49.95,2005,"Red","Pomerol 2005 - Château Beau Soleil, Pomerol"
"Crianza 2014","Spain","La Mancha","Marques dé La Carrasca",3.6,39,5.9,2014,"Red","Crianza 2014 - Marques dé La Carrasca, La Mancha"
"Jumara Irpinia Aglianico Campi Taurasini 2015","Italy","Irpinia","I Capitani",3.8,39,12.09,2015,"Red","Jumara Irpinia Aglianico Campi Taurasini 2015 - I Capitani, Irpinia"
"Aglianico Beneventano 2018","Italy","Campania","Epicuro",3.6,39,7.32,2018,"Red","Aglianico Beneventano 2018 - Epicuro, Campania"
"Saint-Estèphe (Grand Cru Classé) 2017","France","Saint-Estèphe","Château Montrose",4.3,39,170.59,2017,"Red","Saint-Estèphe (Grand Cru Classé) 2017 - Château Montrose, Saint-Estèphe"
"Costières de Nîmes 2017","France","Costières-de-Nîmes","La Pinède",3.7,39,6.02,2017,"Red","Costières de Nîmes 2017 - La Pinède, Costières-de-Nîmes"
"Crianza Unico 2014","Spain","La Mancha","Finca Antigua",3.6,39,8.24,2014,"Red","Crianza Unico 2014 - Finca Antigua, La Mancha"
"Primitivo di Manduria 2018","Italy","Primitivo di Manduria","Terre Avare",3.6,39,9.5,2018,"Red","Primitivo di Manduria 2018 - Terre Avare, Primitivo di Manduria"
"La Ripe Sangiovese Colli Pesaresi 2016","Italy","Colli Pesaresi","Roberto Lucarelli",3.6,39,10.95,2016,"Red","La Ripe Sangiovese Colli Pesaresi 2016 - Roberto Lucarelli, Colli Pesaresi"
"Cistus Rouge Faugères 2017","France","Languedoc","Château de la Liquiere",3.7,39,19.3,2017,"Red","Cistus Rouge Faugères 2017 - Château de la Liquiere, Languedoc"
"Clos Chante l'Alouette Saint-Émilion 2015","France","Médoc","Ets Ouzoulias",4,39,20.75,2015,"Red","Clos Chante l'Alouette Saint-Émilion 2015 - Ets Ouzoulias, Médoc"
"One Bottle of my Cabernet Sauvignon Beats 23 Semesters of Philosophy! 2015","Germany","Pfalz","Emil Bauer & Söhne",4,39,11.95,2015,"Red","One Bottle of my Cabernet Sauvignon Beats 23 Semesters of Philosophy! 2015 - Emil Bauer & Söhne, Pfalz"
"Roble 2016","Spain","Toro","Muruve",3.6,39,8.29,2016,"Red","Roble 2016 - Muruve, Toro"
"Reserva 2010","Spain","Cariñena","Jordán de Asso",3.7,39,18.79,2010,"Red","Reserva 2010 - Jordán de Asso, Cariñena"
"Paz Malbec 2018","Argentina","San Juan","Bodega Finca Las Moras",3.8,39,12.53,2018,"Red","Paz Malbec 2018 - Bodega Finca Las Moras, San Juan"
"Tempranillo 3 Barrica-Oak Aged-Barrique 2016","Spain","Castilla","Candidato",3.8,39,4.99,2016,"Red","Tempranillo 3 Barrica-Oak Aged-Barrique 2016 - Candidato, Castilla"
